,sales_agent,product,account,deal_stage,close_value,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,time_until_close,manager,regional_office
1323,Vicki Laflamme,GTX Basic,Goodsilron,Won,565.0,marketing,2000.0,2952.73,5107.0,United States,0,GTX,550,64.0,Celia Rouche,West
1324,Vicki Laflamme,GTX Basic,Konex,Won,642.0,technolgy,1980.0,7708.38,13756.0,United States,0,GTX,550,101.0,Celia Rouche,West
1325,Violet Mclelland,MG Advanced,Newex,Engaging,0.0,services,1991.0,1012.72,3492.0,Germany,0,MG,3393,0.0,Cara Losch,East
1326,Violet Mclelland,MG Special,Betasoloin,Won,48.0,medical,1999.0,251.41,495.0,United States,0,MG,55,9.0,Cara Losch,East
1327,Violet Mclelland,MG Special,Donware,Won,60.0,marketing,1999.0,1197.44,2570.0,United States,0,MG,55,75.0,Cara Losch,East
1328,Boris Faz,GTX Basic,Kan-code,Won,522.0,software,1982.0,11698.03,34288.0,United States,0,GTX,550,73.0,Rocco Neubert,East
1329,Cassey Cress,GTX Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,550,0.0,Rocco Neubert,East
1330,Cassey Cress,GTX Plus Pro,Umbrella Corporation,Won,4701.0,finance,1998.0,2022.14,5113.0,United States,0,GTX,5482,12.0,Rocco Neubert,East
1331,Darcel Schlecht,GTX Plus Pro,Scottech,Lost,0.0,marketing,2012.0,45.39,100.0,United States,Inity,GTX,5482,75.0,Melvin Marxen,Central
1332,Elease Gluck,GTX Pro,Singletechno,Won,4987.0,retail,1996.0,2214.94,5374.0,United States,0,GTX,4821,7.0,Celia Rouche,West
1333,Jonathan Berthelot,GTX Basic,Inity,Won,579.0,marketing,1986.0,2403.58,8801.0,United States,0,GTX,550,86.0,Melvin Marxen,Central
1334,Kary Hendrixson,MG Special,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,55,0.0,Summer Sewald,West
1335,Kary Hendrixson,GTX Basic,Kan-code,Won,494.0,software,1982.0,11698.03,34288.0,United States,0,GTX,550,115.0,Summer Sewald,West
1336,Marty Freudenburg,GTX Basic,Isdom,Won,545.0,medical,2002.0,3178.24,4540.0,United States,0,GTX,550,97.0,Melvin Marxen,Central
1337,Maureen Marcano,GTX Basic,Y-corporation,Won,584.0,employment,1983.0,2871.35,9561.0,United States,0,GTX,550,87.0,Summer Sewald,West
1338,Moses Frase,MG Advanced,dambase,Won,3714.0,marketing,1995.0,2173.98,2928.0,United States,Inity,MG,3393,95.0,Dustin Brinkmann,Central
1339,Niesha Huffines,MG Advanced,Finhigh,Won,3423.0,finance,2006.0,1102.43,1759.0,United States,0,MG,3393,70.0,Melvin Marxen,Central
1340,Niesha Huffines,MG Advanced,Ron-tech,Won,3167.0,medical,1992.0,3922.42,6837.0,United States,0,MG,3393,13.0,Melvin Marxen,Central
1341,Reed Clapper,GTX Basic,Acme Corporation,Lost,0.0,technolgy,1996.0,1100.04,2822.0,United States,0,GTX,550,84.0,Rocco Neubert,East
1342,Rosalina Dieter,GTX Plus Basic,Xx-holding,Won,987.0,finance,1993.0,7537.24,20293.0,United States,0,GTX,1096,84.0,Celia Rouche,West
1343,Rosie Papadopoulos,GTX Plus Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,1096,0.0,Cara Losch,East
1344,Rosie Papadopoulos,MG Advanced,Konex,Lost,0.0,technolgy,1980.0,7708.38,13756.0,United States,0,MG,3393,92.0,Cara Losch,East
1345,Versie Hillebrand,MG Advanced,Domzoom,Lost,0.0,entertainment,1998.0,217.87,551.0,United States,0,MG,3393,76.0,Dustin Brinkmann,Central
1346,Versie Hillebrand,MG Advanced,Dontechi,Won,3428.0,software,1982.0,4618.0,10083.0,United States,0,MG,3393,79.0,Dustin Brinkmann,Central
1347,Violet Mclelland,MG Special,Warephase,Engaging,0.0,services,1997.0,2041.73,5276.0,United States,0,MG,55,0.0,Cara Losch,East
1348,Violet Mclelland,MG Special,Gekko & Co,Lost,0.0,retail,1990.0,2520.83,3502.0,United States,0,MG,55,77.0,Cara Losch,East
1349,Zane Levy,GTX Plus Basic,Hottechi,Won,1149.0,technolgy,1997.0,8170.38,16499.0,Korea,0,GTX,1096,86.0,Summer Sewald,West
1350,Anna Snelling,GTX Plus Pro,Globex Corporation,Won,6023.0,technolgy,2000.0,1223.72,2497.0,Norway,0,GTX,5482,96.0,Dustin Brinkmann,Central
1351,Boris Faz,GTX Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,550,0.0,Rocco Neubert,East
1352,Boris Faz,GTX Plus Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,1096,0.0,Rocco Neubert,East
1353,Cassey Cress,GTX Basic,Bluth Company,Lost,0.0,technolgy,1993.0,1242.32,3027.0,United States,Acme Corporation,GTX,550,89.0,Rocco Neubert,East
1354,Cecily Lampkin,MG Special,Scottech,Won,47.0,marketing,2012.0,45.39,100.0,United States,Inity,MG,55,10.0,Dustin Brinkmann,Central
1355,Corliss Cosme,GTX Basic,Donquadtech,Won,542.0,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,GTX,550,3.0,Cara Losch,East
1356,Corliss Cosme,GTX Pro,Xx-zobam,Won,4980.0,entertainment,1989.0,3838.39,8274.0,United States,0,GTX,4821,9.0,Cara Losch,East
1357,Darcel Schlecht,GTX Pro,Funholding,Won,4978.0,finance,1991.0,2819.5,7227.0,United States,Golddex,GTX,4821,82.0,Melvin Marxen,Central
1358,Donn Cantrell,GTX Pro,Vehement Capital Partners,Won,5256.0,finance,1993.0,646.1,883.0,United States,Golddex,GTX,4821,95.0,Rocco Neubert,East
1359,Elease Gluck,GTX Pro,Hottechi,Won,4327.0,technolgy,1997.0,8170.38,16499.0,Korea,0,GTX,4821,92.0,Celia Rouche,West
1360,Garret Kinder,GTX Pro,Donware,Won,5022.0,marketing,1999.0,1197.44,2570.0,United States,0,GTX,4821,69.0,Cara Losch,East
1361,Gladys Colclough,GTX Plus Pro,Bioholding,Won,4887.0,medical,2012.0,587.34,1356.0,Philipines,0,GTX,5482,4.0,Melvin Marxen,Central
1362,Gladys Colclough,MG Advanced,Stanredtax,Won,3724.0,finance,1987.0,1698.2,3798.0,United States,0,MG,3393,14.0,Melvin Marxen,Central
1363,James Ascencio,GTX Plus Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,1096,0.0,Summer Sewald,West
1364,James Ascencio,GTX Basic,Y-corporation,Won,535.0,employment,1983.0,2871.35,9561.0,United States,0,GTX,550,4.0,Summer Sewald,West
1365,Kary Hendrixson,GTX Basic,Dontechi,Engaging,0.0,software,1982.0,4618.0,10083.0,United States,0,GTX,550,0.0,Summer Sewald,West
1366,Kary Hendrixson,GTX Plus Pro,Blackzim,Lost,0.0,retail,2009.0,497.11,1588.0,United States,0,GTX,5482,78.0,Summer Sewald,West
1367,Markita Hansen,MG Advanced,Singletechno,Won,3969.0,retail,1996.0,2214.94,5374.0,United States,0,MG,3393,8.0,Celia Rouche,West
1368,Maureen Marcano,GTX Plus Basic,Blackzim,Engaging,0.0,retail,2009.0,497.11,1588.0,United States,0,GTX,1096,0.0,Summer Sewald,West
1369,Moses Frase,GTX Plus Pro,Toughzap,Won,6805.0,retail,1995.0,332.43,799.0,United States,0,GTX,5482,6.0,Dustin Brinkmann,Central
1370,Niesha Huffines,GTX Plus Basic,Isdom,Won,1190.0,medical,2002.0,3178.24,4540.0,United States,0,GTX,1096,97.0,Melvin Marxen,Central
1371,Rosie Papadopoulos,GTX Plus Pro,Condax,Won,4821.0,medical,2017.0,4.54,9.0,United States,0,GTX,5482,83.0,Cara Losch,East
1372,Vicki Laflamme,GTX Basic,Dalttechnology,Engaging,0.0,software,2013.0,98.79,96.0,United States,Bubba Gump,GTX,550,0.0,Celia Rouche,West
1373,Violet Mclelland,MG Special,Kinnamplus,Won,53.0,retail,2004.0,702.72,1831.0,United States,0,MG,55,60.0,Cara Losch,East
1374,Wilburn Farren,GTX Plus Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,1096,0.0,Cara Losch,East
1375,Wilburn Farren,MG Advanced,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,3393,0.0,Cara Losch,East
1376,Zane Levy,GTX Pro,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,4821,0.0,Summer Sewald,West
1377,Cassey Cress,MG Advanced,Vehement Capital Partners,Won,3087.0,finance,1993.0,646.1,883.0,United States,Golddex,MG,3393,75.0,Rocco Neubert,East
1378,Cecily Lampkin,MG Special,Bioholding,Won,59.0,medical,2012.0,587.34,1356.0,Philipines,0,MG,55,87.0,Dustin Brinkmann,Central
1379,Corliss Cosme,GTX Plus Basic,Bubba Gump,Won,857.0,software,2002.0,987.39,2253.0,United States,0,GTX,1096,86.0,Cara Losch,East
1380,Daniell Hammack,GTX Plus Basic,Massive Dynamic,Won,1142.0,entertainment,1989.0,665.06,1095.0,United States,0,GTX,1096,111.0,Rocco Neubert,East
1381,Donn Cantrell,GTX Basic,Ganjaflex,Won,566.0,retail,1995.0,5158.71,17479.0,Japan,0,GTX,550,67.0,Rocco Neubert,East
1382,Garret Kinder,MG Advanced,Xx-zobam,Won,4291.0,entertainment,1989.0,3838.39,8274.0,United States,0,MG,3393,10.0,Cara Losch,East
1383,Hayden Neloms,GTX Plus Basic,Rantouch,Won,1039.0,telecommunications,1994.0,1188.42,3015.0,United States,0,GTX,1096,100.0,Celia Rouche,West
1384,Hayden Neloms,MG Advanced,Xx-holding,Won,3151.0,finance,1993.0,7537.24,20293.0,United States,0,MG,3393,72.0,Celia Rouche,West
1385,Jonathan Berthelot,GTX Basic,Gogozoom,Won,590.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,GTX,550,16.0,Melvin Marxen,Central
1386,Jonathan Berthelot,MG Advanced,Ron-tech,Won,3217.0,medical,1992.0,3922.42,6837.0,United States,0,MG,3393,10.0,Melvin Marxen,Central
1387,Kami Bicknell,GTX Basic,Zoomit,Won,597.0,entertainment,1992.0,324.19,978.0,United States,0,GTX,550,3.0,Summer Sewald,West
1388,Kary Hendrixson,GTX Pro,Newex,Won,4918.0,services,1991.0,1012.72,3492.0,Germany,0,GTX,4821,64.0,Summer Sewald,West
1389,Kary Hendrixson,GTX Pro,Scotfind,Won,5266.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,GTX,4821,11.0,Summer Sewald,West
1390,Lajuana Vencill,MG Advanced,Finhigh,Lost,0.0,finance,2006.0,1102.43,1759.0,United States,0,MG,3393,67.0,Dustin Brinkmann,Central
1391,Markita Hansen,GTX Basic,Silis,Engaging,0.0,medical,1994.0,2818.38,6290.0,United States,0,GTX,550,0.0,Celia Rouche,West
1392,Markita Hansen,GTX Basic,Singletechno,Lost,0.0,retail,1996.0,2214.94,5374.0,United States,0,GTX,550,70.0,Celia Rouche,West
1393,Markita Hansen,MG Special,Blackzim,Won,61.0,retail,2009.0,497.11,1588.0,United States,0,MG,55,60.0,Celia Rouche,West
1394,Markita Hansen,MG Advanced,Faxquote,Won,3470.0,telecommunications,1995.0,1825.82,5595.0,United States,Sonron,MG,3393,84.0,Celia Rouche,West
1395,Moses Frase,GTX Basic,Betatech,Lost,0.0,medical,1986.0,647.18,1185.0,Kenya,0,GTX,550,110.0,Dustin Brinkmann,Central
1396,Rosalina Dieter,MG Special,Newex,Won,48.0,services,1991.0,1012.72,3492.0,Germany,0,MG,55,81.0,Celia Rouche,West
1397,Rosie Papadopoulos,MG Special,Acme Corporation,Won,61.0,technolgy,1996.0,1100.04,2822.0,United States,0,MG,55,106.0,Cara Losch,East
1398,Vicki Laflamme,MG Special,Blackzim,Lost,0.0,retail,2009.0,497.11,1588.0,United States,0,MG,55,79.0,Celia Rouche,West
1399,Violet Mclelland,GTX Basic,Silis,Lost,0.0,medical,1994.0,2818.38,6290.0,United States,0,GTX,550,82.0,Cara Losch,East
1400,Zane Levy,GTX Basic,Y-corporation,Lost,0.0,employment,1983.0,2871.35,9561.0,United States,0,GTX,550,89.0,Summer Sewald,West
1401,Zane Levy,GTX Plus Basic,Plusstrip,Lost,0.0,entertainment,2002.0,349.81,315.0,United States,0,GTX,1096,80.0,Summer Sewald,West
1402,Anna Snelling,GTX Basic,Inity,Lost,0.0,marketing,1986.0,2403.58,8801.0,United States,0,GTX,550,74.0,Dustin Brinkmann,Central
1403,Anna Snelling,GTX Plus Pro,Hottechi,Lost,0.0,technolgy,1997.0,8170.38,16499.0,Korea,0,GTX,5482,63.0,Dustin Brinkmann,Central
1404,Anna Snelling,GTX Basic,Streethex,Won,595.0,retail,1988.0,1376.8,1165.0,Belgium,0,GTX,550,94.0,Dustin Brinkmann,Central
1405,Anna Snelling,MG Special,Zumgoity,Won,51.0,medical,1984.0,441.08,1210.0,United States,0,MG,55,84.0,Dustin Brinkmann,Central
1406,Boris Faz,MG Special,Opentech,Lost,0.0,finance,1994.0,355.23,853.0,United States,0,MG,55,91.0,Rocco Neubert,East
1407,Cassey Cress,GTX Pro,Kan-code,Won,4624.0,software,1982.0,11698.03,34288.0,United States,0,GTX,4821,77.0,Rocco Neubert,East
1408,Corliss Cosme,GTX Plus Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,1096,0.0,Cara Losch,East
1409,Daniell Hammack,GTX Basic,Mathtouch,Engaging,0.0,marketing,1984.0,3027.46,9516.0,Jordan,0,GTX,550,0.0,Rocco Neubert,East
1410,Daniell Hammack,GTX Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,550,0.0,Rocco Neubert,East
1411,Darcel Schlecht,GTX Plus Basic,Finhigh,Lost,0.0,finance,2006.0,1102.43,1759.0,United States,0,GTX,1096,67.0,Melvin Marxen,Central
1412,Darcel Schlecht,MG Special,Bioholding,Lost,0.0,medical,2012.0,587.34,1356.0,Philipines,0,MG,55,80.0,Melvin Marxen,Central
1413,Darcel Schlecht,GTX Basic,Funholding,Won,571.0,finance,1991.0,2819.5,7227.0,United States,Golddex,GTX,550,100.0,Melvin Marxen,Central
1414,Elease Gluck,MG Advanced,Lexiqvolax,Won,3333.0,medical,2004.0,1618.89,3889.0,United States,0,MG,3393,16.0,Celia Rouche,West
1415,Gladys Colclough,GTX Plus Pro,Isdom,Won,4853.0,medical,2002.0,3178.24,4540.0,United States,0,GTX,5482,68.0,Melvin Marxen,Central
1416,Gladys Colclough,MG Special,Toughzap,Won,51.0,retail,1995.0,332.43,799.0,United States,0,MG,55,91.0,Melvin Marxen,Central
1417,James Ascencio,MG Special,Zotware,Engaging,0.0,software,1979.0,4478.47,13809.0,United States,0,MG,55,0.0,Summer Sewald,West
1418,James Ascencio,MG Advanced,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,3393,0.0,Summer Sewald,West
1419,James Ascencio,GTX Basic,Cheers,Lost,0.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550,75.0,Summer Sewald,West
1420,Kami Bicknell,GTX Pro,Cheers,Won,5035.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,4821,100.0,Summer Sewald,West
1421,Marty Freudenburg,MG Special,Codehow,Won,51.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,MG,55,84.0,Melvin Marxen,Central
1422,Maureen Marcano,GTX Pro,Dalttechnology,Won,4342.0,software,2013.0,98.79,96.0,United States,Bubba Gump,GTX,4821,92.0,Summer Sewald,West
1423,Versie Hillebrand,MG Advanced,Codehow,Lost,0.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,MG,3393,4.0,Dustin Brinkmann,Central
1424,Violet Mclelland,MG Special,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,55,0.0,Cara Losch,East
1425,Violet Mclelland,MG Special,Vehement Capital Partners,Won,48.0,finance,1993.0,646.1,883.0,United States,Golddex,MG,55,105.0,Cara Losch,East
1426,Zane Levy,GTX Plus Pro,Kan-code,Won,5215.0,software,1982.0,11698.03,34288.0,United States,0,GTX,5482,70.0,Summer Sewald,West
1427,Anna Snelling,GTX Plus Basic,Streethex,Lost,0.0,retail,1988.0,1376.8,1165.0,Belgium,0,GTX,1096,63.0,Dustin Brinkmann,Central
1428,Anna Snelling,MG Special,Gogozoom,Won,58.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,MG,55,9.0,Dustin Brinkmann,Central
1429,Cecily Lampkin,MG Advanced,Finhigh,Won,3587.0,finance,2006.0,1102.43,1759.0,United States,0,MG,3393,10.0,Dustin Brinkmann,Central
1430,Cecily Lampkin,MG Advanced,Warephase,Won,2915.0,services,1997.0,2041.73,5276.0,United States,0,MG,3393,80.0,Dustin Brinkmann,Central
1431,Daniell Hammack,GTX Pro,Konex,Won,4762.0,technolgy,1980.0,7708.38,13756.0,United States,0,GTX,4821,110.0,Rocco Neubert,East
1432,Garret Kinder,GTX Plus Basic,Gekko & Co,Won,1062.0,retail,1990.0,2520.83,3502.0,United States,0,GTX,1096,94.0,Cara Losch,East
1433,Gladys Colclough,GTX Plus Pro,Finhigh,Lost,0.0,finance,2006.0,1102.43,1759.0,United States,0,GTX,5482,61.0,Melvin Marxen,Central
1434,James Ascencio,GTX Plus Pro,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,5482,0.0,Summer Sewald,West
1435,Kary Hendrixson,GTX Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,550,0.0,Summer Sewald,West
1436,Kary Hendrixson,GTX Basic,Kan-code,Lost,0.0,software,1982.0,11698.03,34288.0,United States,0,GTX,550,81.0,Summer Sewald,West
1437,Maureen Marcano,GTX Plus Pro,Kan-code,Lost,0.0,software,1982.0,11698.03,34288.0,United States,0,GTX,5482,10.0,Summer Sewald,West
1438,Rosie Papadopoulos,MG Special,Inity,Engaging,0.0,marketing,1986.0,2403.58,8801.0,United States,0,MG,55,0.0,Cara Losch,East
1439,Violet Mclelland,MG Special,Massive Dynamic,Lost,0.0,entertainment,1989.0,665.06,1095.0,United States,0,MG,55,80.0,Cara Losch,East
1440,Violet Mclelland,GTX Plus Basic,Zencorporation,Won,1074.0,technolgy,2011.0,40.79,142.0,China,0,GTX,1096,110.0,Cara Losch,East
1441,Zane Levy,MG Special,Newex,Lost,0.0,services,1991.0,1012.72,3492.0,Germany,0,MG,55,56.0,Summer Sewald,West
1442,Anna Snelling,MG Special,Inity,Lost,0.0,marketing,1986.0,2403.58,8801.0,United States,0,MG,55,80.0,Dustin Brinkmann,Central
1443,Anna Snelling,MG Special,Scottech,Won,57.0,marketing,2012.0,45.39,100.0,United States,Inity,MG,55,6.0,Dustin Brinkmann,Central
1444,Cassey Cress,GTX Basic,Zotware,Won,586.0,software,1979.0,4478.47,13809.0,United States,0,GTX,550,72.0,Rocco Neubert,East
1445,Cecily Lampkin,GTX Plus Basic,Rundofase,Won,1184.0,technolgy,1983.0,1008.06,1238.0,United States,0,GTX,1096,94.0,Dustin Brinkmann,Central
1446,Donn Cantrell,GTX Basic,Silis,Lost,0.0,medical,1994.0,2818.38,6290.0,United States,0,GTX,550,69.0,Rocco Neubert,East
1447,James Ascencio,MG Advanced,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,3393,0.0,Summer Sewald,West
1448,James Ascencio,GTX Plus Basic,Lexiqvolax,Lost,0.0,medical,2004.0,1618.89,3889.0,United States,0,GTX,1096,89.0,Summer Sewald,West
1449,James Ascencio,GTX Basic,J-Texon,Won,526.0,retail,1989.0,1388.67,3583.0,United States,0,GTX,550,91.0,Summer Sewald,West
1450,James Ascencio,GTX Plus Pro,Condax,Won,5344.0,medical,2017.0,4.54,9.0,United States,0,GTX,5482,93.0,Summer Sewald,West
1451,James Ascencio,GTX Pro,Konex,Won,4125.0,technolgy,1980.0,7708.38,13756.0,United States,0,GTX,4821,72.0,Summer Sewald,West
1452,Kami Bicknell,GTX Basic,Dalttechnology,Won,528.0,software,2013.0,98.79,96.0,United States,Bubba Gump,GTX,550,87.0,Summer Sewald,West
1453,Kami Bicknell,MG Advanced,Singletechno,Won,3254.0,retail,1996.0,2214.94,5374.0,United States,0,MG,3393,15.0,Summer Sewald,West
1454,Kary Hendrixson,GTX Pro,Green-Plus,Lost,0.0,services,2003.0,692.19,1922.0,United States,0,GTX,4821,57.0,Summer Sewald,West
1455,Kary Hendrixson,GTX Basic,J-Texon,Won,516.0,retail,1989.0,1388.67,3583.0,United States,0,GTX,550,74.0,Summer Sewald,West
1456,Kary Hendrixson,GTX Basic,Y-corporation,Won,538.0,employment,1983.0,2871.35,9561.0,United States,0,GTX,550,16.0,Summer Sewald,West
1457,Lajuana Vencill,GTX Basic,Codehow,Won,459.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,550,98.0,Dustin Brinkmann,Central
1458,Maureen Marcano,GTX Basic,Cheers,Lost,0.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550,107.0,Summer Sewald,West
1459,Maureen Marcano,GTX Pro,Sunnamplex,Won,5137.0,marketing,2008.0,894.37,1593.0,Poland,0,GTX,4821,72.0,Summer Sewald,West
1460,Moses Frase,MG Advanced,Konmatfix,Won,3330.0,marketing,1985.0,375.43,1190.0,United States,0,MG,3393,85.0,Dustin Brinkmann,Central
1461,Versie Hillebrand,GTX Basic,Conecom,Won,589.0,technolgy,2005.0,1520.66,1806.0,United States,0,GTX,550,60.0,Dustin Brinkmann,Central
1462,Vicki Laflamme,MG Special,Goodsilron,Won,45.0,marketing,2000.0,2952.73,5107.0,United States,0,MG,55,19.0,Celia Rouche,West
1463,Zane Levy,MG Special,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,55,0.0,Summer Sewald,West
1464,Anna Snelling,MG Special,Funholding,Lost,0.0,finance,1991.0,2819.5,7227.0,United States,Golddex,MG,55,74.0,Dustin Brinkmann,Central
1465,Cassey Cress,GTX Basic,Finjob,Engaging,0.0,employment,1988.0,2059.9,3644.0,United States,0,GTX,550,0.0,Rocco Neubert,East
1466,Cassey Cress,GTX Plus Pro,Opentech,Won,5664.0,finance,1994.0,355.23,853.0,United States,0,GTX,5482,91.0,Rocco Neubert,East
1467,Cecily Lampkin,MG Advanced,Streethex,Lost,0.0,retail,1988.0,1376.8,1165.0,Belgium,0,MG,3393,51.0,Dustin Brinkmann,Central
1468,Corliss Cosme,GTX Plus Basic,Initech,Won,1074.0,telecommunications,1994.0,6395.05,20275.0,United States,0,GTX,1096,91.0,Cara Losch,East
1469,Darcel Schlecht,GTX Plus Basic,Globex Corporation,Lost,0.0,technolgy,2000.0,1223.72,2497.0,Norway,0,GTX,1096,51.0,Melvin Marxen,Central
1470,Darcel Schlecht,GTX Pro,Treequote,Lost,0.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,GTX,4821,75.0,Melvin Marxen,Central
1471,Elease Gluck,GTX Basic,Finjob,Won,481.0,employment,1988.0,2059.9,3644.0,United States,0,GTX,550,19.0,Celia Rouche,West
1472,Elease Gluck,GTX Plus Basic,Labdrill,Won,1101.0,medical,1985.0,2741.37,9226.0,United States,0,GTX,1096,82.0,Celia Rouche,West
1473,Gladys Colclough,GTX Basic,Warephase,Won,522.0,services,1997.0,2041.73,5276.0,United States,0,GTX,550,103.0,Melvin Marxen,Central
1474,Hayden Neloms,MG Special,Hatfan,Engaging,0.0,services,1982.0,792.46,1299.0,United States,0,MG,55,0.0,Celia Rouche,West
1475,Hayden Neloms,MG Special,Y-corporation,Won,49.0,employment,1983.0,2871.35,9561.0,United States,0,MG,55,93.0,Celia Rouche,West
1476,Kami Bicknell,GTX Pro,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,4821,0.0,Summer Sewald,West
1477,Kami Bicknell,GTX Pro,Newex,Won,4865.0,services,1991.0,1012.72,3492.0,Germany,0,GTX,4821,82.0,Summer Sewald,West
1478,Lajuana Vencill,GTX Plus Basic,Isdom,Won,991.0,medical,2002.0,3178.24,4540.0,United States,0,GTX,1096,71.0,Dustin Brinkmann,Central
1479,Lajuana Vencill,GTX Plus Pro,Dontechi,Won,4509.0,software,1982.0,4618.0,10083.0,United States,0,GTX,5482,76.0,Dustin Brinkmann,Central
1480,Markita Hansen,GTX Pro,Nam-zim,Won,5169.0,services,1987.0,405.59,1179.0,Brazil,Warephase,GTX,4821,52.0,Celia Rouche,West
1481,Maureen Marcano,GTX Basic,Sonron,Won,491.0,telecommunications,1999.0,1699.85,5108.0,United States,0,GTX,550,15.0,Summer Sewald,West
1482,Maureen Marcano,GTX Pro,Labdrill,Won,4281.0,medical,1985.0,2741.37,9226.0,United States,0,GTX,4821,95.0,Summer Sewald,West
1483,Niesha Huffines,GTX Plus Basic,Finhigh,Lost,0.0,finance,2006.0,1102.43,1759.0,United States,0,GTX,1096,57.0,Melvin Marxen,Central
1484,Rosie Papadopoulos,MG Special,Umbrella Corporation,Lost,0.0,finance,1998.0,2022.14,5113.0,United States,0,MG,55,67.0,Cara Losch,East
1485,Rosie Papadopoulos,MG Advanced,Kinnamplus,Won,3443.0,retail,2004.0,702.72,1831.0,United States,0,MG,3393,107.0,Cara Losch,East
1486,Versie Hillebrand,MG Special,Gogozoom,Won,60.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,MG,55,78.0,Dustin Brinkmann,Central
1487,Versie Hillebrand,MG Special,Hottechi,Won,53.0,technolgy,1997.0,8170.38,16499.0,Korea,0,MG,55,100.0,Dustin Brinkmann,Central
1488,Vicki Laflamme,MG Special,Finjob,Won,56.0,employment,1988.0,2059.9,3644.0,United States,0,MG,55,75.0,Celia Rouche,West
1489,Zane Levy,GTX Basic,Scotfind,Won,665.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,GTX,550,5.0,Summer Sewald,West
1490,Anna Snelling,GTX Plus Basic,Inity,Won,1140.0,marketing,1986.0,2403.58,8801.0,United States,0,GTX,1096,57.0,Dustin Brinkmann,Central
1491,Anna Snelling,MG Special,Streethex,Won,52.0,retail,1988.0,1376.8,1165.0,Belgium,0,MG,55,73.0,Dustin Brinkmann,Central
1492,Anna Snelling,MG Special,Warephase,Won,52.0,services,1997.0,2041.73,5276.0,United States,0,MG,55,87.0,Dustin Brinkmann,Central
1493,Boris Faz,GTX Plus Pro,Donquadtech,Lost,0.0,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,GTX,5482,11.0,Rocco Neubert,East
1494,Cassey Cress,MG Advanced,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,3393,0.0,Rocco Neubert,East
1495,Cecily Lampkin,GTX Plus Pro,Konmatfix,Won,5121.0,marketing,1985.0,375.43,1190.0,United States,0,GTX,5482,61.0,Dustin Brinkmann,Central
1496,Cecily Lampkin,MG Advanced,Rundofase,Won,3611.0,technolgy,1983.0,1008.06,1238.0,United States,0,MG,3393,18.0,Dustin Brinkmann,Central
1497,Corliss Cosme,MG Special,Massive Dynamic,Won,50.0,entertainment,1989.0,665.06,1095.0,United States,0,MG,55,11.0,Cara Losch,East
1498,Darcel Schlecht,GTX Basic,Rundofase,Won,618.0,technolgy,1983.0,1008.06,1238.0,United States,0,GTX,550,63.0,Melvin Marxen,Central
1499,Darcel Schlecht,GTX Plus Basic,Globex Corporation,Won,1247.0,technolgy,2000.0,1223.72,2497.0,Norway,0,GTX,1096,4.0,Melvin Marxen,Central
1500,Elease Gluck,MG Special,Sumace,Engaging,0.0,retail,2000.0,167.89,493.0,Romania,0,MG,55,0.0,Celia Rouche,West
1501,Garret Kinder,MG Special,Donware,Won,55.0,marketing,1999.0,1197.44,2570.0,United States,0,MG,55,51.0,Cara Losch,East
1502,Hayden Neloms,GTX Plus Basic,Singletechno,Won,1157.0,retail,1996.0,2214.94,5374.0,United States,0,GTX,1096,96.0,Celia Rouche,West
